passenger_count|year|distance|count
1|2009|41.0|626
5|2009|29.0|592
3|2009|26.0|589
1|2009|42.0|554
2|2009|31.0|532
3|2009|27.0|527
2|2009|32.0|500
1|2009|43.0|464
1|2009|44.0|431
6|2009|22.0|419
0|2009|0.0|416
4|2009|25.0|408
3|2009|28.0|405
2|2009|33.0|404
2|2009|34.0|389
2|2009|36.0|382
1|2009|45.0|377
2|2009|35.0|364
5|2009|30.0|356
4|2009|26.0|345
1|2009|46.0|345
1|2009|47.0|295
2|2009|37.0|294
0|2009|1.0|293
4|2009|27.0|279
1|2009|48.0|270
5|2009|32.0|269
3|2009|29.0|268
5|2009|31.0|260
1|2009|49.0|245
4|2009|28.0|223
2|2009|38.0|221
5|2009|33.0|217
5|2009|34.0|196
4|2009|29.0|195
6|2009|23.0|189
0|2009|2.0|188
2|2009|39.0|187
5|2009|35.0|183
3|2009|30.0|181
5|2009|36.0|167
1|2009|50.0|161
2|2009|40.0|161
3|2009|31.0|154
2|2009|41.0|147
5|2009|37.0|129
3|2009|33.0|113
3|2009|32.0|111
4|2009|30.0|111
3|2009|34.0|109
2|2009|42.0|108
3|2009|35.0|107
6|2009|24.0|100
5|2009|38.0|99
4|2009|31.0|94
3|2009|37.0|87
2|2009|43.0|87
5|2009|39.0|86
3|2009|36.0|84
4|2009|36.0|83
5|2009|40.0|78
0|2009|3.0|78
4|2009|35.0|72
2|2009|44.0|72
3|2009|38.0|71
4|2009|32.0|68
4|2009|34.0|68
6|2009|25.0|63
4|2009|33.0|62
2|2009|45.0|55
5|2009|41.0|53
3|2009|40.0|53
3|2009|39.0|50
4|2009|38.0|47
4|2009|37.0|47
6|2009|26.0|46
2|2009|47.0|45
2|2009|46.0|44
5|2009|43.0|38
5|2009|42.0|38
6|2009|27.0|35
3|2009|41.0|33
4|2009|39.0|31
6|2009|28.0|31
4|2009|40.0|30
0|2009|5.0|30
0|2009|4.0|29
2|2009|48.0|29
2|2009|49.0|27
6|2009|29.0|25
4|2009|42.0|23
3|2009|44.0|22
3|2009|42.0|21
5|2009|44.0|21
3|2009|43.0|19
5|2009|45.0|19
0|2009|6.0|19
2|2009|50.0|17
3|2009|46.0|17
4|2009|41.0|17
5|2009|47.0|15
4|2009|43.0|14
6|2009|31.0|13
5|2009|46.0|13
0|2009|7.0|12
3|2009|45.0|12
4|2009|44.0|12
3|2009|49.0|11
5|2009|49.0|10
3|2009|48.0|10
5|2009|48.0|10
6|2009|34.0|10
6|2009|30.0|10
0|2009|9.0|9
4|2009|45.0|8
4|2009|49.0|8
6|2009|33.0|8
6|2009|32.0|8
4|2009|48.0|8
